#terms	real	user	stdout
1e8	0.29	1.01	18.9978964871832
2e8	0.44	1.57	19.6910436285796
3e8	0.65	2.32	20.0965087236319
4e8	0.85	3.13	20.3841907895558
5e8	1.05	3.87	20.6073343369556
6e8	1.26	4.73	20.7896558911383
7e8	1.78	6.91	20.9438065691007
8e8	1.64	6.07	21.0773379603262
9e8	1.89	7.09	21.1951209948948
