5	0.03	0.02
10	0.02	0.02
15	0.02	0.02
20	0.02	0.02
25	0.02	0.02
30	0.02	0.02
35	0.02	0.02
40	0.02	0.02
45	0.03	0.01
50	0.03	0.02
55	0.03	0.02
60	0.03	0.02
65	0.03	0.02
70	0.03	0.02
75	0.03	0.02
80	0.03	0.02
85	0.03	0.02
90	0.03	0.02
95	0.03	0.03
100	0.03	0.03
105	0.03	0.03
110	0.03	0.02
115	0.04	0.03
120	0.03	0.03
125	0.04	0.03
130	0.04	0.03
135	0.04	0.03
140	0.04	0.04
145	0.04	0.04
150	0.04	0.04
155	0.05	0.04
160	0.05	0.04
165	0.05	0.04
170	0.05	0.04
175	0.06	0.05
180	0.05	0.05
185	0.06	0.05
190	0.06	0.05
195	0.07	0.05
200	0.06	0.05
205	0.07	0.06
210	0.07	0.06
215	0.08	0.07
220	0.08	0.07
225	0.09	0.07
230	0.09	0.08
235	0.10	0.08
240	0.09	0.08
245	0.11	0.09
250	0.10	0.09
255	0.12	0.10
260	0.12	0.10
265	0.13	0.12
270	0.13	0.11
275	0.14	0.13
280	0.14	0.12
285	0.16	0.14
290	0.15	0.12
295	0.17	0.15
300	0.16	0.14
305	0.19	0.16
310	0.18	0.16
315	0.21	0.19
320	0.20	0.17
325	0.22	0.20
330	0.21	0.19
335	0.25	0.22
340	0.25	0.22
345	0.27	0.23
350	0.26	0.21
355	0.30	0.26
360	0.27	0.23
365	0.32	0.27
370	0.31	0.27
375	0.35	0.30
380	0.33	0.28
385	0.38	0.32
390	0.36	0.31
395	0.40	0.35
400	0.38	0.32
