5	0.03	0.02
10	0.02	0.02
15	0.02	0.02
20	0.02	0.02
25	0.02	0.02
30	0.02	0.02
35	0.02	0.02
40	0.02	0.02
45	0.02	0.02
50	0.02	0.02
55	0.03	0.02
60	0.03	0.02
65	0.03	0.02
70	0.03	0.02
75	0.03	0.02
80	0.03	0.02
85	0.03	0.02
90	0.03	0.02
95	0.03	0.02
100	0.03	0.02
105	0.03	0.03
110	0.03	0.02
115	0.04	0.03
120	0.04	0.03
125	0.04	0.03
130	0.04	0.03
135	0.04	0.03
140	0.04	0.04
145	0.05	0.04
150	0.05	0.04
155	0.05	0.05
160	0.05	0.04
165	0.06	0.05
170	0.06	0.05
175	0.07	0.06
180	0.07	0.05
185	0.07	0.06
190	0.07	0.06
195	0.08	0.07
200	0.08	0.07
205	0.08	0.07
210	0.09	0.08
215	0.10	0.08
220	0.10	0.09
225	0.11	0.10
230	0.11	0.10
235	0.12	0.10
240	0.12	0.11
245	0.13	0.12
250	0.13	0.12
255	0.15	0.13
260	0.14	0.13
265	0.16	0.15
270	0.16	0.14
275	0.18	0.16
280	0.18	0.16
285	0.20	0.18
290	0.20	0.18
295	0.22	0.20
300	0.22	0.19
305	0.25	0.23
310	0.24	0.21
315	0.26	0.23
320	0.26	0.23
325	0.29	0.26
330	0.28	0.26
335	0.33	0.31
340	0.33	0.29
345	0.36	0.32
350	0.36	0.32
355	0.40	0.36
360	0.39	0.35
365	0.43	0.39
370	0.43	0.37
375	0.47	0.42
380	0.46	0.41
385	0.51	0.46
390	0.50	0.44
395	0.56	0.50
400	0.58	0.52
5	0.03	0.02
10	0.02	0.02
15	0.02	0.01
20	0.02	0.02
25	0.02	0.02
30	0.02	0.02
35	0.02	0.02
40	0.02	0.02
45	0.02	0.02
50	0.03	0.02
55	0.03	0.02
60	0.03	0.02
65	0.03	0.02
70	0.03	0.02
75	0.03	0.02
80	0.03	0.03
85	0.03	0.02
90	0.03	0.02
95	0.03	0.02
100	0.03	0.03
105	0.03	0.03
110	0.03	0.03
115	0.04	0.02
120	0.04	0.03
125	0.04	0.03
130	0.04	0.03
135	0.04	0.04
140	0.05	0.04
145	0.05	0.04
150	0.05	0.04
155	0.05	0.04
160	0.06	0.04
165	0.06	0.05
170	0.06	0.05
175	0.06	0.05
180	0.06	0.06
185	0.07	0.06
190	0.07	0.06
195	0.08	0.06
200	0.08	0.06
205	0.08	0.08
210	0.09	0.07
215	0.09	0.08
220	0.10	0.09
225	0.11	0.10
230	0.11	0.09
235	0.12	0.10
240	0.12	0.11
245	0.13	0.12
250	0.13	0.12
255	0.15	0.13
260	0.14	0.12
265	0.16	0.15
270	0.16	0.14
275	0.18	0.16
280	0.20	0.18
285	0.20	0.18
290	0.20	0.17
295	0.22	0.20
300	0.21	0.19
305	0.24	0.21
310	0.23	0.21
315	0.26	0.24
320	0.25	0.23
325	0.28	0.26
330	0.28	0.25
335	0.33	0.30
340	0.32	0.29
345	0.36	0.32
350	0.35	0.32
355	0.39	0.35
360	0.39	0.35
365	0.43	0.38
370	0.44	0.39
375	0.51	0.46
380	0.49	0.43
385	0.54	0.48
390	0.49	0.43
395	0.58	0.53
400	0.57	0.50
