5	0.04	0.03
10	0.03	0.03
15	0.03	0.03
20	0.03	0.02
25	0.03	0.03
30	0.03	0.02
35	0.03	0.02
40	0.03	0.03
45	0.03	0.03
50	0.03	0.03
55	0.03	0.02
60	0.04	0.03
65	0.04	0.03
70	0.04	0.03
75	0.04	0.03
80	0.04	0.03
85	0.04	0.03
90	0.04	0.03
95	0.04	0.03
100	0.04	0.03
105	0.04	0.03
110	0.05	0.04
115	0.05	0.04
120	0.07	0.05
125	0.05	0.04
130	0.05	0.04
135	0.05	0.04
140	0.06	0.04
145	0.05	0.04
150	0.05	0.04
155	0.06	0.05
160	0.06	0.05
165	0.06	0.05
170	0.06	0.05
175	0.07	0.05
180	0.07	0.05
185	0.07	0.06
190	0.07	0.07
195	0.08	0.06
200	0.08	0.07
205	0.09	0.08
210	0.09	0.08
215	0.10	0.08
220	0.10	0.09
225	0.11	0.09
230	0.11	0.09
235	0.12	0.10
240	0.12	0.11
245	0.13	0.11
250	0.13	0.11
255	0.14	0.12
260	0.14	0.12
265	0.16	0.14
270	0.16	0.14
275	0.17	0.15
280	0.18	0.15
285	0.19	0.16
290	0.19	0.15
295	0.21	0.18
300	0.20	0.18
305	0.23	0.19
310	0.22	0.19
315	0.24	0.22
320	0.24	0.20
325	0.27	0.24
330	0.26	0.22
335	0.31	0.27
340	0.31	0.25
345	0.33	0.29
350	0.32	0.27
355	0.36	0.30
360	0.35	0.28
365	0.38	0.32
370	0.39	0.33
375	0.42	0.36
380	0.42	0.36
385	0.45	0.38
390	0.45	0.38
395	0.50	0.42
400	0.47	0.40
