100	0.06	0.05	1
1100	0.04	0.03	0
2100	0.03	0.03	0
3100	0.03	0.03	0
4100	0.03	0.03	0
5100	0.03	0.03	0
6100	0.04	0.03	0
7100	0.04	0.03	0
8100	0.04	0.03	0
9100	0.04	0.03	0
10100	0.04	0.03	0
11100	0.04	0.02	0
12100	0.04	0.03	0
13100	0.04	0.03	0
14100	0.04	0.03	0
15100	0.04	0.03	0
16100	0.04	0.03	0
17100	0.04	0.03	0
18100	0.04	0.03	0
19100	0.04	0.03	0
20100	0.04	0.03	0
21100	0.04	0.03	0
22100	0.04	0.03	0
23100	0.04	0.03	0
24100	0.04	0.03	0
25100	0.04	0.03	0
26100	0.04	0.03	0
27100	0.04	0.03	0
28100	0.04	0.03	0
29100	0.04	0.03	0
30100	0.04	0.04	0
31100	0.04	0.03	0
32100	0.04	0.03	0
33100	0.04	0.03	0
34100	0.04	0.03	0
35100	0.04	0.03	0
36100	0.04	0.03	0
37100	0.04	0.03	0
38100	0.04	0.03	0
39100	0.04	0.04	0
40100	0.04	0.03	0
41100	0.04	0.03	0
42100	0.04	0.03	0
43100	0.04	0.03	0
44100	0.05	0.04	0


100	0.07	0.05	1
200	0.04	0.03	0
300	0.03	0.03	0
400	0.04	0.03	0
500	0.05	0.04	0
600	0.06	0.05	0
700	0.08	0.06	0
800	0.09	0.08	0
900	0.12	0.10	0
1000	0.14	0.12	0
1100	0.18	0.16	0
1200	0.20	0.16	0
1300	0.24	0.21	0
1400	0.24	0.22	0
1500	0.35	0.31	0
1600	0.57	0.52	0
1700	0.46	0.42	0
1800	0.61	0.56	0
1900	0.63	0.58	0
2000	0.69	0.64	0
2100	0.81	0.74	0
2200	0.94	0.87	0
2300	1.18	1.12	0
2400	1.37	1.30	0
2500	1.44	1.37	0
2600	1.99	1.87	0
2700	2.21	2.09	0
2800	2.17	2.06	0
2900	2.42	2.28	0
3000	2.30	2.17	0
3100	2.56	2.39	0
