x	g(x)	Neurons:1	Neurons:3	Neurons:5	Neurons:7
1.744	0.006	0.000	-0.003	0.195	-0.085
1.760	0.002	0.000	-0.003	0.188	-0.092
1.776	-0.001	0.000	-0.003	0.181	-0.098
1.792	-0.004	0.000	-0.002	0.174	-0.105
1.808	-0.007	0.000	-0.002	0.167	-0.111
1.824	-0.009	0.000	-0.002	0.160	-0.118
1.840	-0.011	0.000	-0.002	0.154	-0.124
1.856	-0.013	0.000	-0.001	0.147	-0.130
1.872	-0.015	0.000	-0.001	0.140	-0.135
1.888	-0.016	0.000	-0.001	0.133	-0.141
1.904	-0.016	0.000	-0.001	0.126	-0.146
1.920	-0.017	0.000	-0.001	0.119	-0.152
1.936	-0.017	0.000	-0.001	0.112	-0.157
1.952	-0.017	0.000	-0.001	0.106	-0.162
1.968	-0.017	0.000	-0.001	0.098	-0.166
1.984	-0.017	0.000	0.000	0.091	-0.171
