x	g(x)	F_p(x)	Anti-derivative(nn)	First-derivative(nn)	Second-derivative(nn)
0.460	0.216	0.196	0.077	-3.762	3.801
0.470	0.176	0.158	0.079	-3.719	4.789
0.480	0.135	0.122	0.080	-3.666	5.727
0.490	0.095	0.085	0.081	-3.604	6.613
0.500	0.055	0.049	0.082	-3.534	7.444
0.510	0.016	0.015	0.082	-3.456	8.221
0.520	-0.022	-0.020	0.082	-3.370	8.941
0.530	-0.060	-0.053	0.082	-3.277	9.604
0.540	-0.096	-0.085	0.081	-3.178	10.210
0.550	-0.132	-0.116	0.080	-3.073	10.759
0.560	-0.166	-0.147	0.079	-2.963	11.250
0.570	-0.199	-0.176	0.077	-2.848	11.684
0.580	-0.231	-0.204	0.076	-2.729	12.062
0.590	-0.261	-0.230	0.073	-2.607	12.385
0.600	-0.290	-0.256	0.071	-2.482	12.654
0.610	-0.318	-0.280	0.068	-2.354	12.871
0.620	-0.344	-0.303	0.065	-2.225	13.036
0.630	-0.368	-0.324	0.062	-2.094	13.152
0.640	-0.391	-0.345	0.059	-1.962	13.220
0.650	-0.412	-0.364	0.055	-1.829	13.243
0.660	-0.431	-0.381	0.052	-1.697	13.223
0.670	-0.449	-0.397	0.048	-1.565	13.161
0.680	-0.464	-0.412	0.044	-1.434	13.061
0.690	-0.478	-0.426	0.039	-1.304	12.923
0.700	-0.491	-0.439	0.035	-1.176	12.752
0.710	-0.501	-0.450	0.031	-1.049	12.549
0.720	-0.510	-0.460	0.026	-0.925	12.317
0.730	-0.517	-0.468	0.022	-0.803	12.058
0.740	-0.523	-0.476	0.017	-0.684	11.774
0.750	-0.527	-0.482	0.012	-0.567	11.468
0.760	-0.529	-0.487	0.007	-0.454	11.143
0.770	-0.529	-0.491	0.002	-0.345	10.800
0.780	-0.528	-0.494	-0.003	-0.238	10.441
0.790	-0.526	-0.496	-0.008	-0.136	10.070
0.800	-0.522	-0.497	-0.013	-0.037	9.688
0.810	-0.517	-0.496	-0.018	0.058	9.297
0.820	-0.510	-0.495	-0.022	0.149	8.898
0.830	-0.502	-0.494	-0.027	0.236	8.495
0.840	-0.493	-0.491	-0.032	0.319	8.088
0.850	-0.483	-0.487	-0.037	0.398	7.679
0.860	-0.471	-0.483	-0.042	0.472	7.271
0.870	-0.459	-0.478	-0.047	0.543	6.863
0.880	-0.446	-0.472	-0.052	0.610	6.458
0.890	-0.432	-0.466	-0.056	0.672	6.057
0.900	-0.417	-0.459	-0.061	0.731	5.661
0.910	-0.401	-0.451	-0.065	0.785	5.271
0.920	-0.385	-0.443	-0.070	0.836	4.887
0.930	-0.368	-0.434	-0.074	0.883	4.512
0.940	-0.351	-0.425	-0.079	0.927	4.146
0.950	-0.333	-0.416	-0.083	0.966	3.788
0.960	-0.315	-0.406	-0.087	1.002	3.441
0.970	-0.296	-0.396	-0.091	1.035	3.104
0.980	-0.278	-0.385	-0.095	1.064	2.778
0.990	-0.259	-0.374	-0.099	1.091	2.463
